start,close,natr,natr_thr,adx,plus_di,minus_di,atr,sma50,sma200,pnl,hr,fwd_disp_pct
2026-03-02,68799.1,0.05026968878789544,0.02939629276799644,48.59014335699864,16.08833957278651,25.828623879930205,3458.5093458872975,77292.808,96803.5295,70.46803016353005,55336.14953419676,3.815313280119753
2026-03-07,67228.1,0.051666473490512024,0.03006405936138971,36.83093288764306,18.971224112349134,25.02351788066195,3473.4388464674917,74742.42599999999,95634.15,69.59746090580833,55575.02154347987,1.2939957072345636
2026-03-12,70482.4,0.045755348224095466,0.031086259637477655,27.106667463589435,20.752260958858184,20.733411009017,3224.946755669986,72457.62800000001,94496.37200000002,66.56115691675615,51599.14809071978,3.90761816686925
2026-03-17,73868.3,0.040302884801503576,0.031654002807435716,26.150897023929435,31.487780701492103,15.646907148728541,2977.1055853829066,70865.25200000001,93545.017,75.7864941845121,47633.689366126506,0.19429183974273082
2026-03-22,67829.3,0.04261001947572457,0.03223543708786894,20.033967530428274,22.39153181534489,24.7698466271336,2890.2077940247646,69310.808,92541.34199999999,23.250822956739285,46243.32470439623,10.273315943454268
2026-03-27,66367.4,0.044382033970631896,0.03307563384366437,16.53177948869198,20.453093399709328,28.180506069751743,2945.520201342515,68920.294,91507.9225,-8.188523406800641,47128.32322148024,12.907934142628891
2026-04-01,68084.1,0.039340265769727545,0.033565547427598784,15.371038718127844,20.863442897000866,23.47854834284988,2678.4465886927073,68648.632,90321.60399999999,-9.91572278204626,42855.14541908332,11.930875555757666
2026-04-06,68813.5,0.03526263165416605,0.03450818464820036,13.794528059341692,24.290045688635896,21.86803050062116,2426.5451033339555,68612.11200000001,89112.45800000001,-96.96506601910687,38824.72165334329,17.01507267181052
2026-04-11,73013.1,0.033668661390447545,0.034986609158259345,16.12810349440493,24.570694516849922,14.902117527130283,2458.253340966886,69070.15400000001,88060.965,-34.37982137565723,39332.05345547017,12.71784602301562
2026-04-16,75106.1,0.03338002088605351,0.034925197046573514,16.933030128870517,23.439677354465594,15.67395401374984,2507.0431866700237,69808.19600000001,87138.91900000001,37.9106826519743,40112.69098672038,5.75938777666472
2026-04-21,76294.4,0.03324251393349332,0.03467293422080857,19.70536042524476,23.630149437982233,14.767153790670113,2536.2176550475124,70683.826,86084.288,51.2130365591492,40579.4824807602,2.264975927951411
2026-04-26,78617.3,0.028996744181360518,0.034225732681487195,24.983303810734938,27.447970179917117,11.662412778617966,2279.6457363292743,71541.116,84959.466,55.64744081965343,36474.33178126839,0.3505957807299899
2026-05-01,78192.0,0.02937881075745294,0.03381395943047639,24.201632825104312,25.825326887091485,13.904025684875235,2297.18797074676,72321.162,84004.09799999998,47.58471580714013,36755.00753194816,3.254037086432825
2026-05-06,81393.9,0.0266346571841779,0.03369777222440979,29.353571314534584,30.547103225192455,10.171258884412378,2167.8986233832575,73035.212,83273.8535,-319.0182650112033,34686.37797413212,21.067934520586565
2026-05-11,81697.7,0.02489879064186109,0.03338002088605351,32.06571870276157,28.818547683900242,11.5524419488885,2034.1739282215747,74162.702,82572.8045,-495.0216070088868,32546.782851545195,24.990395417033422
2026-05-16,78107.2,0.027631501445294148,0.033240373467037745,29.545796965933167,20.796108765000916,15.964437888943662,2158.219209687879,75165.364,81742.992,-149.9124580871371,34531.50735500606,16.877152988534693
2026-05-21,77585.9,0.02528974447220838,0.03291303468674658,21.433081801169966,18.547827514229347,16.56171142019391,1962.127585646312,76182.72600000001,80932.783,-178.87293619767615,31394.04137034099,18.029721064940286
2026-05-26,75898.2,0.02638083751323184,0.03234275406507431,19.63672448170184,14.123911454180716,22.426996200116275,2002.2580817467729,77053.746,80262.9075,-277.1469598120084,32036.129307948366,21.014581815876596
2026-05-31,73650.2,0.024921163616655907,0.031894921249849884,26.054884819541716,11.186256271942,26.430456261712145,1835.4486845994309,77219.934,79520.03450000001,-159.1773383200093,29367.178953590894,18.484786963347954
2026-06-05,61020.3,0.041421170054714025,0.031974176158872915,39.84397414889508,5.607985650574522,47.66660149219895,2527.5322230896663,76380.438,78774.824,83.3035004763249,40440.51556943466,0.9791524157969805
2026-06-10,61479.4,0.040633105800174894,0.03245007104227967,45.92568746931825,10.180071315757681,37.71941642922212,2498.0989647312726,75017.304,78122.66600000001,62.38468218720189,39969.58343570036,2.4267462345968074
2026-06-15,66288.3,0.03470765043566224,0.032912116698659705,42.365652319595966,19.846475857956534,28.27411964063498,2300.7111443743097,73689.214,77520.061,69.41131199325888,36811.378309988955,1.0720796671607202
2026-06-20,64265.6,0.033470605682807124,0.033238233000582165,37.839403122326054,17.030099259476547,29.452502883892567,2151.0085565690097,72427.966,76877.0225,63.607095985432295,34416.136905104155,1.7641849688798128
2026-06-25,59768.2,0.0398281469468929,0.033240373467037745,35.21943615395135,13.563716094712442,32.82374686288528,2380.456652351284,70658.52799999999,76159.8875,48.15146373157313,38087.306437620544,5.053414602175903
