start,close,natr,natr_thr,adx,plus_di,minus_di,atr,sma50,sma200,pnl,hr,fwd_disp_pct,jev_regime,jev_p_trend,jev_disp,jev_path,jev_conf
2026-03-02,68799.1,0.0502696887878954,0.0293962927679964,48.59014335699864,16.08833957278651,25.828623879930205,3458.509345887297,77292.808,96803.5295,70.46803016353005,55336.14953419676,3.815313280119753,trend,0.9,3.02,2.54,2.68
2026-03-07,67228.1,0.051666473490512,0.0300640593613897,36.83093288764306,18.97122411234913,25.02351788066195,3473.438846467492,74742.42599999999,95634.15,69.59746090580833,55575.02154347987,1.2939957072345636,trend,0.83,2.94,2.47,2.66
2026-03-12,70482.4,0.0457553482240954,0.0310862596374776,27.106667463589435,20.752260958858184,20.733411009017,3224.946755669986,72457.62800000001,94496.37200000002,66.56115691675615,51599.14809071978,3.90761816686925,trend,0.51,2.77,2.21,2.42
2026-03-17,73868.3,0.0403028848015035,0.0316540028074357,26.150897023929435,31.487780701492103,15.64690714872854,2977.1055853829066,70865.25200000001,93545.017,75.7864941845121,47633.689366126506,0.1942918397427308,trend,0.84,2.67,2.04,2.53
2026-03-22,67829.3,0.0426100194757245,0.0322354370878689,20.033967530428274,22.39153181534489,24.7698466271336,2890.207794024765,69310.808,92541.342,23.250822956739285,46243.32470439623,10.273315943454268,range,0.27,2.54,2.09,2.41
2026-03-27,66367.4,0.0443820339706318,0.0330756338436643,16.53177948869198,20.453093399709328,28.180506069751743,2945.520201342515,68920.294,91507.9225,-8.188523406800641,47128.32322148024,12.907934142628893,range,0.4,2.61,2.05,2.26
2026-04-01,68084.1,0.0393402657697275,0.0335655474275987,15.371038718127844,20.863442897000866,23.47854834284988,2678.446588692708,68648.632,90321.604,-9.91572278204626,42855.14541908332,11.930875555757666,range,0.12,2.43,1.81,2.34
2026-04-06,68813.5,0.035262631654166,0.0345081846482003,13.794528059341692,24.290045688635896,21.86803050062116,2426.5451033339555,68612.11200000001,89112.45800000001,-96.96506601910689,38824.72165334329,17.01507267181052,range,0.06,2.22,1.5,2.32
2026-04-11,73013.1,0.0336686613904475,0.0349866091582593,16.12810349440493,24.57069451684992,14.902117527130285,2458.253340966886,69070.15400000001,88060.965,-34.37982137565723,39332.05345547017,12.71784602301562,range,0.23,2.41,1.59,2.41
2026-04-16,75106.1,0.0333800208860535,0.0349251970465735,16.933030128870517,23.439677354465594,15.67395401374984,2507.043186670024,69808.19600000001,87138.91900000001,37.9106826519743,40112.69098672038,5.75938777666472,range,0.26,2.47,1.6,2.4
2026-04-21,76294.4,0.0332425139334933,0.0346729342208085,19.70536042524476,23.630149437982237,14.767153790670111,2536.2176550475124,70683.826,86084.288,51.2130365591492,40579.4824807602,2.264975927951411,range,0.41,2.32,1.61,2.45
2026-04-26,78617.3,0.0289967441813605,0.0342257326814871,24.983303810734935,27.44797017991712,11.662412778617966,2279.6457363292743,71541.116,84959.466,55.64744081965343,36474.33178126839,0.3505957807299899,trend,0.72,2.15,1.22,2.56
2026-05-01,78192.0,0.0293788107574529,0.0338139594304763,24.201632825104312,25.825326887091485,13.904025684875236,2297.18797074676,72321.162,84004.09799999998,47.58471580714013,36755.00753194816,3.254037086432825,trend,0.71,2.42,1.56,2.57
2026-05-06,81393.9,0.0266346571841779,0.0336977722244097,29.353571314534584,30.54710322519245,10.171258884412378,2167.898623383257,73035.212,83273.8535,-319.0182650112033,34686.37797413212,21.067934520586565,trend,0.78,2.16,1.22,2.68
2026-05-11,81697.7,0.024898790641861,0.0333800208860535,32.06571870276157,28.81854768390024,11.5524419488885,2034.173928221575,74162.702,82572.8045,-495.0216070088868,32546.782851545195,24.990395417033422,trend,0.77,2.01,1.13,2.67
2026-05-16,78107.2,0.0276315014452941,0.0332403734670377,29.545796965933167,20.79610876500092,15.964437888943662,2158.219209687879,75165.364,81742.992,-149.9124580871371,34531.50735500606,16.877152988534693,trend,0.6,2.07,1.39,2.58
2026-05-21,77585.9,0.0252897444722083,0.0329130346867465,21.43308180116997,18.547827514229347,16.56171142019391,1962.127585646312,76182.72600000001,80932.783,-178.87293619767615,31394.04137034099,18.029721064940286,range,0.15,1.83,1.14,2.44
2026-05-26,75898.2,0.0263808375132318,0.0323427540650743,19.63672448170184,14.123911454180716,22.426996200116275,2002.2580817467729,77053.746,80262.9075,-277.1469598120084,32036.12930794837,21.0145818158766,range,0.17,1.84,1.32,2.39
2026-05-31,73650.2,0.0249211636166559,0.0318949212498498,26.05488481954172,11.186256271942,26.430456261712145,1835.4486845994309,77219.934,79520.03450000001,-159.1773383200093,29367.178953590894,18.484786963347958,trend,0.72,2.11,1.41,2.57
2026-06-05,61020.3,0.041421170054714,0.0319741761588729,39.84397414889508,5.607985650574522,47.66660149219895,2527.5322230896663,76380.438,78774.824,83.3035004763249,40440.51556943466,0.9791524157969804,trend,0.96,2.98,2.1,2.73
2026-06-10,61479.4,0.0406331058001748,0.0324500710422796,45.92568746931825,10.18007131575768,37.71941642922212,2498.0989647312726,75017.304,78122.66600000001,62.38468218720189,39969.58343570036,2.4267462345968074,trend,0.97,2.88,2.14,2.71
2026-06-15,66288.3,0.0347076504356622,0.0329121166986597,42.365652319595966,19.84647585795653,28.27411964063498,2300.7111443743097,73689.214,77520.061,69.41131199325888,36811.37830998896,1.0720796671607202,trend,0.88,2.5,1.92,2.66
2026-06-20,64265.6,0.0334706056828071,0.0332382330005821,37.83940312232605,17.030099259476547,29.452502883892567,2151.0085565690097,72427.966,76877.0225,63.607095985432295,34416.136905104155,1.7641849688798128,trend,0.94,2.58,1.81,2.66
2026-06-25,59768.2,0.0398281469468929,0.0332403734670377,35.21943615395135,13.563716094712442,32.82374686288528,2380.456652351284,70658.52799999999,76159.8875,48.15146373157313,38087.306437620544,5.053414602175903,trend,0.97,2.78,2.14,2.75
