timestamp,open,high,low,close,volume
2023-10-24 16:00:00,2.096,2.298,2.074,2.224,1159635.53
2023-10-25 16:00:00,2.225,2.381,2.162,2.198,1098877.723
2023-10-26 16:00:00,2.198,2.41,2.175,2.388,993687.464
2023-10-27 16:00:00,2.387,2.562,2.342,2.531,809049.972
2023-10-28 16:00:00,2.531,2.532,2.403,2.47,1012789.037
2023-10-29 16:00:00,2.471,2.722,2.428,2.71,1089551.967
2023-10-30 16:00:00,2.71,2.957,2.644,2.841,1961176.342
2023-10-31 16:00:00,2.841,3.112,2.831,2.915,1293036.533
2023-11-01 16:00:00,2.914,3.06,2.792,2.794,1066890.941
2023-11-02 16:00:00,2.795,3.209,2.755,3.192,1632510.766
2023-11-03 16:00:00,3.192,3.483,3.124,3.346,1890728.622
2023-11-04 16:00:00,3.345,3.545,3.307,3.325,1132400.995
2023-11-05 16:00:00,3.325,3.573,3.243,3.54,886705.387
2023-11-06 16:00:00,3.542,3.605,3.164,3.215,1388703.106
2023-11-07 16:00:00,3.215,3.501,3.182,3.305,999303.395
2023-11-08 16:00:00,3.304,4.013,3.283,3.912,1875367.265
2023-11-09 16:00:00,3.911,4.074,3.321,4.003,2270125.133
2023-11-10 16:00:00,4.001,4.707,3.887,4.646,1927131.043
2023-11-11 16:00:00,4.644,5.379,4.342,5.173,2909399.35
2023-11-12 16:00:00,5.174,5.338,4.81,4.933,1882830.243
2023-11-13 16:00:00,4.931,5.197,4.686,5.006,2113117.941
2023-11-14 16:00:00,5.006,5.968,4.59,5.943,1904516.655
2023-11-15 16:00:00,5.941,6.666,5.832,6.539,1824654.717
2023-11-16 16:00:00,6.539,6.612,5.717,5.868,1405053.786
2023-11-17 16:00:00,5.868,6.511,5.837,6.243,1026113.949
2023-11-18 16:00:00,6.243,6.351,5.104,5.419,1128327.694
2023-11-19 16:00:00,5.419,5.597,5.259,5.469,704314.027
2023-11-20 16:00:00,5.469,5.587,5.122,5.372,1171282.044
2023-11-21 16:00:00,5.372,5.885,4.863,5.847,1535600.228
2023-11-22 16:00:00,5.847,6.086,5.662,5.667,778463.111
2023-11-23 16:00:00,5.667,5.739,5.347,5.491,694776.648
2023-11-24 16:00:00,5.491,5.557,5.23,5.363,550353.439
2023-11-25 16:00:00,5.363,5.552,5.233,5.252,412148.812
2023-11-26 16:00:00,5.252,5.516,5.155,5.241,687674.756
2023-11-27 16:00:00,5.241,5.816,5.172,5.782,1014226.233
2023-11-28 16:00:00,5.782,6.484,5.782,6.32,1209527.033
2023-11-29 16:00:00,6.32,6.668,6.265,6.497,916339.367
2023-11-30 16:00:00,6.497,6.653,6.259,6.309,841599.169
2023-12-01 16:00:00,6.308,7.28,6.284,7.139,1013689.11
2023-12-02 16:00:00,7.139,7.268,6.85,6.88,720308.863
2023-12-03 16:00:00,6.881,7.293,6.462,6.519,1057379.226
2023-12-04 16:00:00,6.518,6.772,6.215,6.399,713496.208
2023-12-05 16:00:00,6.399,6.869,6.346,6.481,1111652.463
2023-12-06 16:00:00,6.481,6.57,6.199,6.528,672997.685
2023-12-07 16:00:00,6.533,6.707,6.328,6.374,688470.705
2023-12-08 16:00:00,6.374,6.657,6.346,6.395,555880.653
2023-12-09 16:00:00,6.395,6.487,6.115,6.414,562761.244
2023-12-10 16:00:00,6.413,6.683,5.482,5.836,982433.285
2023-12-11 16:00:00,5.836,6.112,5.622,5.79,636498.745
2023-12-12 16:00:00,5.79,5.801,5.358,5.763,576313.869
2023-12-13 16:00:00,5.763,6.28,5.63,5.889,812898.963
2023-12-14 16:00:00,5.889,6.038,5.804,5.855,623604.065
2023-12-15 16:00:00,5.855,5.962,5.624,5.83,361818.947
2023-12-16 16:00:00,5.83,5.85,5.556,5.635,392029.435
2023-12-17 16:00:00,5.635,5.74,5.135,5.282,541188.284
2023-12-18 16:00:00,5.282,5.625,5.187,5.231,393387.299
2023-12-19 16:00:00,5.231,5.598,5.056,5.569,544228.448
2023-12-20 16:00:00,5.569,5.584,5.282,5.374,579371.483
2023-12-21 16:00:00,5.374,5.546,5.297,5.37,538001.753
2023-12-22 16:00:00,5.37,5.42,5.13,5.2,361112.768
2023-12-23 16:00:00,5.2,6.487,5.192,6.309,1520681.169
2023-12-24 16:00:00,6.309,6.469,5.906,5.912,953123.219
2023-12-25 16:00:00,5.912,5.95,5.503,5.512,909605.115
2023-12-26 16:00:00,5.512,5.773,5.209,5.681,806010.845
2023-12-27 16:00:00,5.681,5.806,5.374,5.457,697099.511
2023-12-28 16:00:00,5.457,5.632,5.401,5.435,526342.197
2023-12-29 16:00:00,5.435,5.454,5.181,5.316,429360.841
2023-12-30 16:00:00,5.316,5.348,5.008,5.256,624726.252
2023-12-31 16:00:00,5.256,5.256,5.003,5.218,664988.484
2024-01-01 16:00:00,5.218,5.929,5.096,5.533,1244951.619
2024-01-02 16:00:00,5.533,6.161,4.564,5.415,1717642.939
2024-01-03 16:00:00,5.415,5.598,5.188,5.441,949322.046
2024-01-04 16:00:00,5.441,5.541,5.038,5.107,687049.88
2024-01-05 16:00:00,5.107,5.238,4.797,4.904,467821.461
2024-01-06 16:00:00,4.904,4.987,4.823,4.834,339361.122
2024-01-07 16:00:00,4.834,4.843,4.274,4.717,942918.43
2024-01-08 16:00:00,4.714,5.018,4.665,4.81,720658.362
2024-01-09 16:00:00,4.81,4.87,4.488,4.602,575653.391
2024-01-10 16:00:00,4.602,5.495,4.567,5.177,913983.612
2024-01-11 16:00:00,5.174,5.21,4.717,4.737,700811.157
2024-01-12 16:00:00,4.737,4.771,4.407,4.597,827070.294
2024-01-13 16:00:00,4.597,4.674,4.484,4.617,466859.342
2024-01-14 16:00:00,4.617,4.647,4.436,4.537,349276.52
2024-01-15 16:00:00,4.537,4.736,4.495,4.716,320257.367
2024-01-16 16:00:00,4.715,4.836,4.619,4.665,329851.805
2024-01-17 16:00:00,4.665,4.683,4.081,4.195,685064.118
2024-01-18 16:00:00,4.195,4.201,3.924,4.08,675569.859
2024-01-19 16:00:00,4.08,4.235,3.932,4.061,491688.464
2024-01-20 16:00:00,4.061,4.339,4.046,4.253,344709.228
2024-01-21 16:00:00,4.253,4.283,3.956,4.013,385158.083
2024-01-22 16:00:00,4.013,4.084,3.754,3.878,685977.228
2024-01-23 16:00:00,3.878,4.108,3.801,4.069,428882.134
2024-01-24 16:00:00,4.069,4.123,3.982,3.999,355911.437
2024-01-25 16:00:00,3.999,4.338,3.963,4.32,413444.348
2024-01-26 16:00:00,4.32,4.395,4.262,4.3,322493.097
2024-01-27 16:00:00,4.3,4.428,4.266,4.327,345744.654
2024-01-28 16:00:00,4.327,4.342,4.178,4.293,317912.098
2024-01-29 16:00:00,4.293,4.779,4.281,4.727,805901.407
2024-01-30 16:00:00,4.726,4.844,4.613,4.779,730704.855
2024-01-31 16:00:00,4.779,4.941,4.438,4.523,714783.603
2024-02-01 16:00:00,4.523,4.65,4.464,4.539,402627.748
2024-02-02 16:00:00,4.539,4.562,4.31,4.336,283107.993
2024-02-03 16:00:00,4.336,4.419,4.312,4.379,238653.886
2024-02-04 16:00:00,4.379,4.545,4.233,4.411,383271.044
2024-02-05 16:00:00,4.411,4.499,4.334,4.499,342951.48
2024-02-06 16:00:00,4.499,4.521,4.334,4.412,294175.294
2024-02-07 16:00:00,4.412,4.777,4.407,4.764,427873.193
2024-02-08 16:00:00,4.764,5.498,4.655,5.375,1198017.899
2024-02-09 16:00:00,5.375,5.407,5.074,5.104,617443.717
2024-02-10 16:00:00,5.101,5.294,5.062,5.192,496110.097
2024-02-11 16:00:00,5.192,5.368,5.037,5.318,595753.578
2024-02-12 16:00:00,5.318,5.479,5.11,5.152,598712.167
2024-02-13 16:00:00,5.152,5.68,5.102,5.557,489055.862
2024-02-14 16:00:00,5.557,5.69,5.461,5.645,574337.974
2024-02-15 16:00:00,5.645,6.08,5.589,5.716,893843.542
2024-02-16 16:00:00,5.716,5.858,5.375,5.414,470988.477
2024-02-17 16:00:00,5.414,5.519,5.321,5.489,434968.722
2024-02-18 16:00:00,5.49,5.609,5.414,5.463,428203.592
2024-02-19 16:00:00,5.463,5.498,5.041,5.111,628947.552
2024-02-20 16:00:00,5.115,5.281,4.927,5.017,504661.664
2024-02-21 16:00:00,5.017,5.272,4.919,5.163,420161.507
2024-02-22 16:00:00,5.163,5.2,4.967,5.054,380801.364
2024-02-23 16:00:00,5.053,5.438,4.952,5.391,505068.895
2024-02-24 16:00:00,5.392,5.47,5.35,5.364,239568.32
2024-02-25 16:00:00,5.364,5.622,5.349,5.62,329401.896
2024-02-26 16:00:00,5.621,6.057,5.619,5.847,615288.604
2024-02-27 16:00:00,5.847,6.446,5.782,6.137,794674.026
2024-02-28 16:00:00,6.137,6.367,5.637,6.1,1072047.788
2024-02-29 16:00:00,6.1,6.109,5.631,5.65,694168.639
2024-03-01 16:00:00,5.65,5.835,5.636,5.687,463325.618
