timestamp,open,high,low,close,volume
2024-06-19 16:00:00,3.8,4.13,3.429,3.572,76122.425
2024-06-20 16:00:00,3.571,3.811,3.004,3.023,632690.964
2024-06-21 16:00:00,3.023,3.319,2.798,3.295,513470.533
2024-06-22 16:00:00,3.295,3.387,2.826,2.89,313326.501
2024-06-23 16:00:00,2.89,2.94,2.557,2.694,284197.291
2024-06-24 16:00:00,2.694,2.919,2.685,2.839,291108.455
2024-06-25 16:00:00,2.839,2.882,2.591,2.597,211012.75
2024-06-26 16:00:00,2.597,2.639,2.468,2.608,284632.639
2024-06-27 16:00:00,2.61,2.687,2.489,2.657,231108.946
2024-06-28 16:00:00,2.657,2.828,2.475,2.816,310186.869
2024-06-29 16:00:00,2.815,3.344,2.692,3.308,423278.509
2024-06-30 16:00:00,3.306,3.8,3.252,3.701,517156.41
2024-07-01 16:00:00,3.702,4.104,3.675,3.915,475914.432
2024-07-02 16:00:00,3.915,4.259,3.607,3.668,549686.419
2024-07-03 16:00:00,3.666,3.696,3.102,3.251,359267.028
2024-07-04 16:00:00,3.251,3.622,2.735,3.607,479058.587
2024-07-05 16:00:00,3.607,4.418,3.586,4.305,632471.678
2024-07-06 16:00:00,4.305,4.367,3.715,3.842,377582.665
2024-07-07 16:00:00,3.843,4.152,3.69,3.772,401556.52
2024-07-08 16:00:00,3.776,4.072,3.709,3.83,211953.425
2024-07-09 16:00:00,3.829,4.5,3.673,4.112,287818.877
2024-07-10 16:00:00,4.11,4.216,3.822,3.938,244196.637
2024-07-11 16:00:00,3.937,3.946,3.611,3.803,228764.205
2024-07-12 16:00:00,3.803,3.864,3.675,3.775,132095.944
2024-07-13 16:00:00,3.784,3.805,3.62,3.68,146304.5
2024-07-14 16:00:00,3.68,4.109,3.669,3.99,202340.007
2024-07-15 16:00:00,3.99,4.194,3.814,4.029,185054.313
2024-07-16 16:00:00,4.028,4.365,3.91,4.084,200637.701
2024-07-17 16:00:00,4.086,4.168,3.807,3.821,164466.206
2024-07-18 16:00:00,3.82,3.966,3.72,3.881,157371.732
2024-07-19 16:00:00,3.881,4.819,3.855,4.787,277185.584
2024-07-20 16:00:00,4.793,5.446,4.718,5.115,395192.809
2024-07-21 16:00:00,5.114,5.598,4.958,5.347,319509.36
2024-07-22 16:00:00,5.349,5.42,4.91,4.937,212143.991
2024-07-23 16:00:00,4.93,5.035,4.729,4.812,177231.304
2024-07-24 16:00:00,4.813,4.944,4.452,4.534,169038.597
2024-07-25 16:00:00,4.534,4.852,4.3,4.703,171781.526
2024-07-26 16:00:00,4.703,5.019,4.585,4.643,163045.804
2024-07-27 16:00:00,4.643,4.643,4.4,4.435,154606.362
2024-07-28 16:00:00,4.435,4.637,4.252,4.292,128998.52
2024-07-29 16:00:00,4.291,4.614,4.263,4.589,138393.667
2024-07-30 16:00:00,4.589,4.699,4.38,4.568,151885.143
2024-07-31 16:00:00,4.569,4.624,3.97,4.0,152641.122
2024-08-01 16:00:00,4.0,4.135,3.645,3.739,193796.852
2024-08-02 16:00:00,3.739,3.798,3.527,3.67,132323.821
2024-08-03 16:00:00,3.67,3.711,3.275,3.287,190979.08
2024-08-04 16:00:00,3.287,3.35,2.74,3.176,427409.962
2024-08-05 16:00:00,3.178,3.378,3.002,3.334,212403.431
2024-08-06 16:00:00,3.334,3.425,3.125,3.17,140376.774
2024-08-07 16:00:00,3.17,3.327,2.917,3.321,175120.458
2024-08-08 16:00:00,3.321,3.653,3.317,3.454,160404.024
2024-08-09 16:00:00,3.457,3.566,3.419,3.505,91530.063
2024-08-10 16:00:00,3.502,3.769,3.352,3.372,129180.171
2024-08-11 16:00:00,3.372,3.569,3.192,3.519,147052.355
2024-08-12 16:00:00,3.519,3.555,3.352,3.402,101429.274
2024-08-13 16:00:00,3.404,3.62,3.379,3.426,118065.707
2024-08-14 16:00:00,3.428,3.592,3.272,3.573,111210.005
2024-08-15 16:00:00,3.573,3.619,3.173,3.2,148872.95
2024-08-16 16:00:00,3.201,3.572,3.186,3.524,115594.896
2024-08-17 16:00:00,3.525,3.68,3.42,3.48,126230.848
2024-08-18 16:00:00,3.48,3.513,3.288,3.325,107585.392
2024-08-19 16:00:00,3.324,3.552,3.29,3.328,104496.247
2024-08-20 16:00:00,3.327,3.425,3.267,3.347,103487.982
2024-08-21 16:00:00,3.347,3.661,3.335,3.533,111498.585
2024-08-22 16:00:00,3.533,3.807,3.521,3.755,104221.284
2024-08-23 16:00:00,3.755,4.268,3.739,4.15,141929.696
2024-08-24 16:00:00,4.15,4.515,4.032,4.427,191550.223
2024-08-25 16:00:00,4.426,4.465,4.068,4.115,113879.943
2024-08-26 16:00:00,4.114,4.133,3.826,3.918,112884.317
2024-08-27 16:00:00,3.92,3.957,3.605,3.788,167374.344
